A,B,C,D,AVERAGE
2.0,202.0,246.0,949.0,349.75
200.0,965.0,359.0,2.0,381.5
710.0,479.0,685.0,790.0,666.0
272.0,636.0,300.0,537.0,436.25
551.0,677.0,797.0,4.0,507.25
314.0,231.0,566.0,360.0,367.75
654.0,58.0,141.0,754.0,401.75
619.0,154.0,969.0,140.0,470.5
966.0,198.0,299.0,474.0,484.25
890.0,789.0,788.0,575.0,760.5
804.0,923.0,534.0,911.0,793.0
391.0,799.0,556.0,325.0,517.75
801.0,804.0,682.0,882.0,792.25
259.0,55.0,650.0,392.0,339.0
230.0,262.0,155.0,998.0,411.25
149.0,603.0,632.0,435.0,454.75
334.0,126.0,557.0,748.0,441.25
249.0,489.0,451.0,279.0,367.0
481.0,609.0,526.0,304.0,480.0
583.0,344.0,361.0,365.0,413.25
539.0,971.0,543.0,537.0,647.5
982.0,376.0,297.0,36.0,422.75
154.0,722.0,883.0,134.0,473.25
854.0,802.0,285.0,619.0,640.0
767.0,790.0,714.0,765.0,759.0
188.0,955.0,980.0,30.0,538.25
352.0,941.0,405.0,259.0,489.25
447.0,618.0,101.0,784.0,487.5
942.0,424.0,497.0,144.0,501.75
406.0,815.0,484.0,384.0,522.25
277.0,101.0,402.0,758.0,384.5
343.0,555.0,571.0,674.0,535.75
339.0,319.0,633.0,427.0,429.5
215.0,457.0,326.0,856.0,463.5
138.0,727.0,358.0,527.0,437.5
709.0,117.0,491.0,612.0,482.25
252.0,387.0,293.0,406.0,334.5
615.0,398.0,414.0,636.0,515.75
125.0,681.0,631.0,539.0,494.0
351.0,211.0,664.0,944.0,542.5
277.0,842.0,617.0,94.0,457.5
140.0,971.0,653.0,15.0,444.75
391.0,167.0,455.0,150.0,290.75
318.0,545.0,466.0,287.0,404.0
532.0,845.0,649.0,225.0,562.75
996.0,514.0,915.0,294.0,679.75
984.0,949.0,250.0,626.0,702.25
179.0,1.0,985.0,865.0,507.5
102.0,932.0,568.0,301.0,475.75
710.0,111.0,670.0,620.0,527.75
137.0,761.0,529.0,872.0,574.75
277.0,288.0,638.0,534.0,434.25
413.0,709.0,70.0,764.0,489.0
362.0,162.0,132.0,730.0,346.5
96.0,693.0,377.0,689.0,463.75
185.0,795.0,883.0,597.0,615.0
970.0,645.0,287.0,125.0,506.75
255.0,266.0,960.0,119.0,400.0
414.0,862.0,190.0,728.0,548.5
353.0,470.0,269.0,998.0,522.5
772.0,239.0,895.0,666.0,643.0
787.0,162.0,825.0,40.0,453.5
592.0,693.0,178.0,336.0,449.75
802.0,430.0,552.0,496.0,570.0
631.0,696.0,944.0,138.0,602.25
467.0,610.0,371.0,22.0,367.5
791.0,53.0,473.0,453.0,442.5
291.0,974.0,63.0,975.0,575.75
974.0,940.0,74.0,772.0,690.0
297.0,251.0,374.0,626.0,387.0
914.0,167.0,954.0,737.0,693.0
914.0,19.0,226.0,524.0,420.75
454.0,866.0,595.0,622.0,634.25
78.0,969.0,899.0,714.0,665.0
937.0,708.0,158.0,688.0,622.75
352.0,392.0,218.0,80.0,260.5
185.0,480.0,132.0,312.0,277.25
493.0,193.0,503.0,901.0,522.5
832.0,662.0,589.0,724.0,701.75
932.0,50.0,172.0,663.0,454.25
901.0,934.0,823.0,322.0,745.0
592.0,896.0,282.0,38.0,452.0
537.0,430.0,792.0,782.0,635.25
121.0,302.0,909.0,897.0,557.25
306.0,975.0,792.0,392.0,616.25
280.0,467.0,451.0,610.0,452.0
582.0,177.0,933.0,687.0,594.75
345.0,96.0,164.0,495.0,275.0
953.0,960.0,849.0,831.0,898.25
502.0,547.0,936.0,128.0,528.25
648.0,654.0,26.0,129.0,364.25
471.0,392.0,288.0,113.0,316.0
734.0,52.0,495.0,963.0,561.0
852.0,3.0,629.0,266.0,437.5
846.0,938.0,740.0,608.0,783.0
380.0,891.0,177.0,301.0,437.25
856.0,227.0,985.0,912.0,745.0
63.0,606.0,866.0,419.0,488.5
721.0,734.0,57.0,842.0,588.5
484.0,606.0,887.0,242.0,554.75
364.0,651.0,337.0,308.0,415.0
303.0,827.0,845.0,311.0,571.5
97.0,89.0,962.0,286.0,358.5
504.0,710.0,788.0,950.0,738.0
823.0,838.0,225.0,640.0,631.5
182.0,894.0,558.0,604.0,559.5
102.0,638.0,176.0,360.0,319.0
70.0,285.0,941.0,247.0,385.75
529.0,447.0,388.0,448.0,453.0
235.0,358.0,566.0,66.0,306.25
34.0,134.0,164.0,173.0,126.25
984.0,100.0,157.0,71.0,328.0
804.0,929.0,696.0,930.0,839.75
871.0,425.0,358.0,242.0,474.0
568.0,343.0,219.0,417.0,386.75
357.0,112.0,600.0,478.0,386.75
534.0,948.0,123.0,503.0,527.0
743.0,439.0,929.0,927.0,759.5
639.0,714.0,74.0,13.0,360.0
464.0,235.0,839.0,769.0,576.75
706.0,58.0,440.0,774.0,494.5
679.0,405.0,390.0,822.0,574.0
626.0,729.0,557.0,846.0,689.5
338.0,755.0,17.0,306.0,354.0
220.0,154.0,421.0,619.0,353.5
540.0,508.0,384.0,822.0,563.5
808.0,801.0,589.0,460.0,664.5
143.0,443.0,173.0,280.0,259.75
683.0,471.0,133.0,735.0,505.5
427.0,819.0,195.0,939.0,595.0
272.0,831.0,904.0,416.0,605.75
170.0,274.0,766.0,71.0,320.25
643.0,727.0,122.0,446.0,484.5
492.0,177.0,823.0,930.0,605.5
646.0,390.0,166.0,495.0,424.25
532.0,254.0,87.0,379.0,313.0
643.0,541.0,567.0,725.0,619.0
188.0,821.0,445.0,943.0,599.25
280.0,901.0,348.0,795.0,581.0
466.0,707.0,978.0,536.0,671.75
539.0,122.0,462.0,92.0,303.75
887.0,165.0,998.0,209.0,564.75
693.0,279.0,464.0,92.0,382.0
562.0,45.0,506.0,666.0,444.75
303.0,163.0,297.0,26.0,197.25
777.0,102.0,239.0,863.0,495.25
585.0,713.0,354.0,355.0,501.75
541.0,640.0,899.0,524.0,651.0
780.0,538.0,586.0,5.0,477.25
514.0,968.0,447.0,328.0,564.25
370.0,612.0,678.0,780.0,610.0
958.0,462.0,267.0,886.0,643.25
335.0,455.0,44.0,129.0,240.75
232.0,394.0,514.0,560.0,425.0
9.0,332.0,850.0,37.0,307.0
198.0,308.0,543.0,368.0,354.25
744.0,531.0,125.0,929.0,582.25
540.0,364.0,715.0,561.0,545.0
859.0,402.0,255.0,139.0,413.75
901.0,778.0,940.0,58.0,669.25
655.0,852.0,266.0,70.0,460.75
363.0,606.0,814.0,405.0,547.0
81.0,76.0,457.0,848.0,365.5
475.0,634.0,101.0,215.0,356.25
466.0,622.0,793.0,833.0,678.5
425.0,104.0,741.0,355.0,406.25
815.0,629.0,106.0,735.0,571.25
16.0,611.0,419.0,615.0,415.25
659.0,886.0,18.0,261.0,456.0
819.0,816.0,108.0,582.0,581.25
41.0,854.0,880.0,461.0,559.0
98.0,347.0,577.0,242.0,316.0
270.0,386.0,166.0,864.0,421.5
789.0,66.0,197.0,406.0,364.5
968.0,48.0,877.0,918.0,702.75
195.0,401.0,580.0,356.0,383.0
807.0,903.0,483.0,969.0,790.5
861.0,817.0,967.0,398.0,760.75
7.0,174.0,801.0,326.0,327.0
960.0,492.0,775.0,36.0,565.75
160.0,353.0,583.0,900.0,499.0
739.0,932.0,401.0,202.0,568.5
84.0,150.0,251.0,259.0,186.0
419.0,937.0,441.0,196.0,498.25
306.0,551.0,626.0,827.0,577.5
461.0,68.0,280.0,55.0,216.0
738.0,247.0,692.0,85.0,440.5
87.0,705.0,880.0,478.0,537.5
909.0,850.0,93.0,237.0,522.25
202.0,769.0,344.0,479.0,448.5
64.0,869.0,231.0,328.0,373.0
452.0,971.0,503.0,293.0,554.75
479.0,529.0,861.0,936.0,701.25
562.0,783.0,796.0,826.0,741.75
740.0,440.0,246.0,583.0,502.25
708.0,142.0,103.0,345.0,324.5
912.0,416.0,378.0,733.0,609.75
433.0,292.0,672.0,170.0,391.75
865.0,509.0,762.0,833.0,742.25
378.0,714.0,48.0,123.0,315.75
754.0,736.0,783.0,136.0,602.25
666.0,891.0,841.0,697.0,773.75
465.0,194.0,485.0,719.0,465.75
216.0,784.0,633.0,778.0,602.75
369.0,671.0,88.0,361.0,372.25
738.0,394.0,930.0,842.0,726.0
176.0,785.0,631.0,271.0,465.75
17.0,853.0,825.0,101.0,449.0
893.0,343.0,953.0,617.0,701.5
297.0,98.0,480.0,149.0,256.0
513.0,921.0,425.0,588.0,611.75
835.0,803.0,318.0,895.0,712.75
321.0,321.0,336.0,148.0,281.5
789.0,553.0,355.0,425.0,530.5
420.0,206.0,383.0,327.0,334.0
454.0,523.0,401.0,214.0,398.0
61.0,785.0,607.0,257.0,427.5
985.0,324.0,671.0,813.0,698.25
560.0,962.0,14.0,450.0,496.5
442.0,851.0,197.0,808.0,574.5
358.0,594.0,526.0,417.0,473.75
570.0,732.0,558.0,70.0,482.5
121.0,410.0,561.0,238.0,332.5
358.0,503.0,353.0,266.0,370.0
906.0,751.0,705.0,368.0,682.5
426.0,386.0,140.0,171.0,280.75
321.0,820.0,926.0,629.0,674.0
853.0,59.0,747.0,374.0,508.25
124.0,75.0,696.0,7.0,225.5
469.0,311.0,560.0,471.0,452.75
341.0,244.0,691.0,798.0,518.5
849.0,623.0,14.0,554.0,510.0
96.0,421.0,476.0,470.0,365.75
9.0,78.0,639.0,823.0,387.25
855.0,89.0,78.0,362.0,346.0
688.0,561.0,489.0,726.0,616.0
370.0,331.0,336.0,749.0,446.5
113.0,888.0,595.0,238.0,458.5
956.0,4.0,446.0,913.0,579.75
998.0,700.0,59.0,718.0,618.75
628.0,202.0,960.0,520.0,577.5
304.0,847.0,539.0,454.0,536.0
616.0,701.0,779.0,987.0,770.75
636.0,907.0,171.0,783.0,624.25
945.0,989.0,821.0,845.0,900.0
192.0,563.0,135.0,972.0,465.5
866.0,962.0,417.0,843.0,772.0
354.0,822.0,530.0,575.0,570.25
253.0,708.0,361.0,438.0,440.0
896.0,142.0,105.0,22.0,291.25
422.0,507.0,649.0,988.0,641.5
217.0,959.0,9.0,134.0,329.75
216.0,4.0,912.0,488.0,405.0
374.0,8.0,100.0,230.0,178.0
49.0,648.0,844.0,965.0,626.5
448.0,141.0,310.0,628.0,381.75
47.0,240.0,815.0,394.0,374.0
229.0,115.0,470.0,132.0,236.5
995.0,997.0,48.0,696.0,684.0
331.0,985.0,91.0,133.0,385.0
37.0,522.0,635.0,161.0,338.75
501.0,212.0,887.0,800.0,600.0
215.0,27.0,176.0,417.0,208.75
727.0,690.0,585.0,527.0,632.25
511.0,488.0,344.0,703.0,511.5
72.0,976.0,71.0,881.0,500.0
219.0,626.0,501.0,927.0,568.25
929.0,643.0,961.0,402.0,733.75
20.0,272.0,642.0,974.0,477.0
545.0,816.0,891.0,611.0,715.75
28.0,963.0,456.0,83.0,382.5
326.0,392.0,755.0,741.0,553.5
537.0,424.0,853.0,874.0,672.0
871.0,644.0,554.0,384.0,613.25
889.0,215.0,586.0,166.0,464.0
265.0,131.0,719.0,272.0,346.75
232.0,806.0,710.0,302.0,512.5
809.0,536.0,931.0,43.0,579.75
282.0,489.0,836.0,438.0,511.25
786.0,559.0,973.0,344.0,665.5
293.0,54.0,430.0,624.0,350.25
795.0,742.0,317.0,407.0,565.25
991.0,575.0,26.0,735.0,581.75
7.0,982.0,517.0,387.0,473.25
546.0,50.0,830.0,47.0,368.25
366.0,796.0,338.0,451.0,487.75
516.0,964.0,289.0,78.0,461.75
332.0,871.0,453.0,926.0,645.5
573.0,98.0,164.0,28.0,215.75
977.0,714.0,314.0,402.0,601.75
150.0,317.0,891.0,656.0,503.5
949.0,538.0,837.0,861.0,796.25
746.0,957.0,870.0,294.0,716.75
86.0,694.0,864.0,307.0,487.75
901.0,496.0,724.0,621.0,685.5
579.0,897.0,761.0,737.0,743.5
382.0,928.0,697.0,853.0,715.0
775.0,654.0,300.0,76.0,451.25
104.0,295.0,244.0,773.0,354.0
707.0,400.0,762.0,121.0,497.5
581.0,51.0,421.0,689.0,435.5
902.0,215.0,113.0,314.0,386.0
15.0,68.0,399.0,664.0,286.5
329.0,445.0,838.0,97.0,427.25
111.0,227.0,785.0,84.0,301.75
42.0,558.0,976.0,366.0,485.5
514.0,530.0,162.0,167.0,343.25
161.0,265.0,90.0,977.0,373.25
154.0,513.0,675.0,763.0,526.25
54.0,304.0,456.0,414.0,307.0
963.0,947.0,683.0,732.0,831.25
16.0,915.0,183.0,451.0,391.25
826.0,694.0,760.0,149.0,607.25
852.0,151.0,439.0,42.0,371.0
297.0,756.0,339.0,896.0,572.0
87.0,230.0,917.0,981.0,553.75
24.0,825.0,282.0,264.0,348.75
450.0,215.0,619.0,107.0,347.75
154.0,309.0,248.0,818.0,382.25
29.0,221.0,605.0,337.0,298.0
902.0,124.0,671.0,789.0,621.5
672.0,683.0,447.0,154.0,489.0
135.0,334.0,688.0,220.0,344.25
248.0,20.0,186.0,226.0,170.0
945.0,722.0,717.0,571.0,738.75
979.0,916.0,62.0,444.0,600.25
253.0,476.0,615.0,32.0,344.0
891.0,91.0,744.0,840.0,641.5
54.0,908.0,243.0,273.0,369.5
933.0,399.0,187.0,993.0,628.0
492.0,592.0,208.0,149.0,360.25
137.0,115.0,779.0,798.0,457.25
671.0,55.0,92.0,997.0,453.75
140.0,712.0,745.0,333.0,482.5
365.0,955.0,28.0,886.0,558.5
900.0,786.0,18.0,235.0,484.75
871.0,211.0,354.0,733.0,542.25
19.0,60.0,461.0,698.0,309.5
867.0,230.0,17.0,83.0,299.25
752.0,93.0,852.0,22.0,429.75
814.0,259.0,712.0,404.0,547.25
434.0,3.0,262.0,664.0,340.75
203.0,424.0,463.0,162.0,313.0
345.0,394.0,908.0,20.0,416.75
817.0,288.0,606.0,59.0,442.5
830.0,890.0,337.0,277.0,583.5
507.0,502.0,291.0,216.0,379.0
547.0,711.0,957.0,415.0,657.5
954.0,1.0,402.0,398.0,438.75
532.0,304.0,810.0,136.0,445.5
139.0,77.0,227.0,177.0,155.0
443.0,532.0,781.0,155.0,477.75
943.0,653.0,881.0,242.0,679.75
178.0,681.0,55.0,34.0,237.0
12.0,889.0,386.0,982.0,567.25
615.0,717.0,714.0,671.0,679.25
63.0,193.0,735.0,125.0,279.0
215.0,842.0,998.0,320.0,593.75
914.0,719.0,678.0,994.0,826.25
988.0,913.0,424.0,820.0,786.25
188.0,474.0,303.0,496.0,365.25
710.0,585.0,155.0,180.0,407.5
91.0,918.0,535.0,575.0,529.75
180.0,432.0,730.0,973.0,578.75
689.0,400.0,319.0,927.0,583.75
216.0,817.0,278.0,585.0,474.0
404.0,869.0,105.0,847.0,556.25
413.0,337.0,573.0,259.0,395.5
1.0,130.0,708.0,694.0,383.25
540.0,894.0,335.0,360.0,532.25
608.0,979.0,355.0,40.0,495.5
452.0,431.0,181.0,945.0,502.25
944.0,292.0,25.0,358.0,404.75
827.0,904.0,971.0,882.0,896.0
917.0,608.0,727.0,593.0,711.25
608.0,460.0,147.0,896.0,527.75
945.0,150.0,345.0,106.0,386.5
771.0,81.0,653.0,289.0,448.5
399.0,417.0,33.0,963.0,453.0
574.0,224.0,212.0,895.0,476.25
435.0,684.0,743.0,569.0,607.75
814.0,506.0,347.0,754.0,605.25
143.0,891.0,612.0,463.0,527.25
226.0,199.0,925.0,385.0,433.75
725.0,107.0,570.0,349.0,437.75
972.0,649.0,927.0,420.0,742.0
969.0,352.0,360.0,667.0,587.0
418.0,186.0,668.0,299.0,392.75
857.0,698.0,112.0,558.0,556.25
620.0,497.0,432.0,270.0,454.75
813.0,250.0,606.0,894.0,640.75
644.0,700.0,683.0,623.0,662.5
133.0,353.0,798.0,783.0,516.75
411.0,524.0,455.0,974.0,591.0
826.0,713.0,174.0,979.0,673.0
94.0,338.0,26.0,225.0,170.75
395.0,968.0,22.0,987.0,593.0
691.0,719.0,63.0,298.0,442.75
115.0,495.0,571.0,27.0,302.0
122.0,124.0,602.0,249.0,274.25
51.0,463.0,18.0,679.0,302.75
614.0,31.0,549.0,490.0,421.0
223.0,243.0,955.0,888.0,577.25
544.0,336.0,507.0,269.0,414.0
636.0,346.0,442.0,854.0,569.5
253.0,788.0,483.0,257.0,445.25
979.0,994.0,235.0,806.0,753.5
302.0,609.0,142.0,965.0,504.5
498.0,181.0,95.0,979.0,438.25
557.0,404.0,396.0,205.0,390.5
933.0,516.0,948.0,836.0,808.25
476.0,494.0,183.0,688.0,460.25
172.0,382.0,713.0,309.0,394.0
594.0,486.0,262.0,571.0,478.25
961.0,181.0,230.0,356.0,432.0
681.0,399.0,654.0,138.0,468.0
764.0,204.0,245.0,986.0,549.75
500.0,865.0,731.0,590.0,671.5
764.0,405.0,419.0,983.0,642.75
107.0,525.0,752.0,724.0,527.0
335.0,861.0,320.0,418.0,483.5
139.0,724.0,727.0,717.0,576.75
923.0,118.0,823.0,267.0,532.75
334.0,546.0,957.0,572.0,602.25
572.0,673.0,354.0,63.0,415.5
460.0,63.0,81.0,641.0,311.25
678.0,904.0,895.0,168.0,661.25
850.0,593.0,287.0,917.0,661.75
437.0,20.0,878.0,408.0,435.75
131.0,6.0,520.0,123.0,195.0
455.0,87.0,388.0,422.0,338.0
409.0,965.0,288.0,818.0,620.0
945.0,643.0,115.0,270.0,493.25
452.0,848.0,200.0,107.0,401.75
133.0,420.0,605.0,606.0,441.0
649.0,415.0,487.0,910.0,615.25
696.0,872.0,428.0,880.0,719.0
929.0,432.0,783.0,628.0,693.0
38.0,488.0,136.0,566.0,307.0
80.0,136.0,720.0,465.0,350.25
399.0,401.0,195.0,688.0,420.75
393.0,894.0,558.0,571.0,604.0
475.0,432.0,788.0,949.0,661.0
802.0,794.0,967.0,403.0,741.5
769.0,604.0,672.0,530.0,643.75
557.0,584.0,140.0,657.0,484.5
568.0,48.0,133.0,121.0,217.5
179.0,312.0,499.0,636.0,406.5
319.0,255.0,75.0,831.0,370.0
983.0,109.0,155.0,67.0,328.5
547.0,618.0,359.0,763.0,571.75
892.0,836.0,442.0,921.0,772.75
122.0,744.0,192.0,384.0,360.5
439.0,995.0,81.0,184.0,424.75
432.0,523.0,631.0,838.0,606.0
820.0,635.0,621.0,34.0,527.5
149.0,574.0,238.0,605.0,391.5
207.0,51.0,301.0,520.0,269.75
700.0,398.0,860.0,275.0,558.25
212.0,113.0,802.0,239.0,341.5
582.0,262.0,734.0,829.0,601.75
110.0,117.0,671.0,869.0,441.75
84.0,607.0,778.0,177.0,411.5
955.0,279.0,382.0,424.0,510.0
778.0,740.0,846.0,937.0,825.25
350.0,303.0,759.0,316.0,432.0
546.0,751.0,262.0,331.0,472.5
265.0,717.0,263.0,409.0,413.5
556.0,736.0,865.0,665.0,705.5
419.0,115.0,815.0,135.0,371.0
259.0,494.0,967.0,915.0,658.75
803.0,8.0,490.0,680.0,495.25
587.0,564.0,783.0,2.0,484.0
551.0,336.0,358.0,658.0,475.75
916.0,812.0,146.0,884.0,689.5
778.0,24.0,336.0,756.0,473.5
784.0,475.0,187.0,643.0,522.25
433.0,402.0,954.0,26.0,453.75
995.0,264.0,688.0,907.0,713.5
134.0,103.0,919.0,464.0,405.0
404.0,644.0,317.0,638.0,500.75
57.0,427.0,136.0,34.0,163.5
556.0,645.0,198.0,276.0,418.75
581.0,89.0,660.0,610.0,485.0
502.0,763.0,386.0,81.0,433.0
899.0,963.0,493.0,576.0,732.75
524.0,868.0,449.0,944.0,696.25
653.0,904.0,733.0,770.0,765.0
722.0,756.0,116.0,878.0,618.0
558.0,797.0,346.0,767.0,617.0
875.0,809.0,869.0,454.0,751.75
20.0,422.0,174.0,984.0,400.0
921.0,272.0,88.0,981.0,565.5
870.0,541.0,699.0,285.0,598.75
924.0,568.0,416.0,867.0,693.75
351.0,969.0,682.0,906.0,727.0
680.0,290.0,698.0,901.0,642.25
729.0,455.0,551.0,264.0,499.75
917.0,736.0,873.0,124.0,662.5
106.0,639.0,72.0,771.0,397.0
279.0,176.0,982.0,89.0,381.5
564.0,764.0,249.0,289.0,466.5
148.0,675.0,614.0,50.0,371.75
992.0,473.0,69.0,739.0,568.25
620.0,634.0,949.0,740.0,735.75
944.0,251.0,374.0,753.0,580.5
873.0,264.0,66.0,581.0,446.0
397.0,765.0,735.0,436.0,583.25
744.0,771.0,358.0,842.0,678.75
777.0,198.0,627.0,632.0,558.5
231.0,917.0,813.0,47.0,502.0
441.0,645.0,698.0,95.0,469.75
575.0,277.0,226.0,165.0,310.75
295.0,838.0,947.0,244.0,581.0
547.0,207.0,721.0,147.0,405.5
386.0,893.0,21.0,700.0,500.0
421.0,551.0,282.0,314.0,392.0
616.0,131.0,764.0,401.0,478.0
564.0,547.0,48.0,74.0,308.25
860.0,296.0,97.0,84.0,334.25
668.0,724.0,222.0,963.0,644.25
966.0,360.0,675.0,215.0,554.0
712.0,327.0,413.0,626.0,519.5
833.0,357.0,307.0,366.0,465.75
205.0,96.0,589.0,477.0,341.75
842.0,437.0,480.0,234.0,498.25
3.0,181.0,876.0,224.0,321.0
825.0,291.0,49.0,304.0,367.25
999.0,935.0,186.0,588.0,677.0
472.0,186.0,659.0,953.0,567.5
188.0,419.0,642.0,162.0,352.75
401.0,897.0,401.0,345.0,511.0
391.0,43.0,236.0,779.0,362.25
406.0,387.0,667.0,875.0,583.75
967.0,187.0,116.0,551.0,455.25
29.0,127.0,893.0,907.0,489.0
4.0,667.0,630.0,904.0,551.25
715.0,451.0,726.0,745.0,659.25
631.0,854.0,206.0,580.0,567.75
62.0,740.0,518.0,951.0,567.75
997.0,931.0,964.0,398.0,822.5
137.0,183.0,654.0,402.0,344.0
286.0,544.0,990.0,987.0,701.75
367.0,210.0,61.0,186.0,206.0
408.0,964.0,54.0,237.0,415.75
759.0,998.0,651.0,815.0,805.75
893.0,599.0,206.0,866.0,641.0
793.0,885.0,383.0,276.0,584.25
506.0,96.0,174.0,464.0,310.0
817.0,593.0,290.0,252.0,488.0
77.0,860.0,705.0,617.0,564.75
763.0,584.0,452.0,553.0,588.0
783.0,38.0,577.0,339.0,434.25
10.0,868.0,511.0,846.0,558.75
883.0,367.0,448.0,55.0,438.25
16.0,657.0,557.0,290.0,380.0
528.0,13.0,913.0,395.0,462.25
431.0,984.0,327.0,84.0,456.5
843.0,548.0,451.0,155.0,499.25
70.0,787.0,630.0,475.0,490.5
515.0,250.0,80.0,973.0,454.5
716.0,121.0,996.0,735.0,642.0
328.0,265.0,540.0,653.0,446.5
237.0,975.0,66.0,633.0,477.75
337.0,597.0,656.0,566.0,539.0
361.0,116.0,293.0,179.0,237.25
367.0,461.0,265.0,704.0,449.25
731.0,696.0,448.0,877.0,688.0
357.0,3.0,378.0,599.0,334.25
730.0,976.0,24.0,814.0,636.0
836.0,659.0,190.0,383.0,517.0
86.0,959.0,657.0,534.0,559.0
694.0,466.0,56.0,890.0,526.5
751.0,484.0,716.0,381.0,583.0
934.0,890.0,650.0,437.0,727.75
755.0,129.0,520.0,481.0,471.25
718.0,506.0,931.0,652.0,701.75
154.0,808.0,557.0,105.0,406.0
441.0,655.0,799.0,905.0,700.0
309.0,508.0,25.0,546.0,347.0
712.0,725.0,571.0,682.0,672.5
945.0,745.0,608.0,680.0,744.5
261.0,877.0,542.0,744.0,606.0
514.0,784.0,366.0,30.0,423.5
584.0,406.0,788.0,481.0,564.75
769.0,292.0,557.0,830.0,612.0
66.0,971.0,75.0,593.0,426.25
591.0,679.0,457.0,444.0,542.75
829.0,489.0,724.0,670.0,678.0
739.0,941.0,429.0,814.0,730.75
521.0,328.0,413.0,647.0,477.25
492.0,180.0,529.0,196.0,349.25
136.0,933.0,392.0,528.0,497.25
377.0,217.0,974.0,362.0,482.5
815.0,257.0,883.0,134.0,522.25
303.0,718.0,567.0,975.0,640.75
261.0,977.0,559.0,627.0,606.0
864.0,447.0,873.0,818.0,750.5
140.0,604.0,678.0,509.0,482.75
225.0,843.0,582.0,251.0,475.25
702.0,477.0,925.0,606.0,677.5
267.0,58.0,571.0,85.0,245.25
733.0,891.0,898.0,83.0,651.25
683.0,382.0,38.0,497.0,400.0
395.0,156.0,912.0,918.0,595.25
852.0,110.0,416.0,285.0,415.75
324.0,509.0,650.0,669.0,538.0
369.0,54.0,810.0,569.0,450.5
47.0,350.0,355.0,904.0,414.0
689.0,732.0,96.0,967.0,621.0
138.0,415.0,771.0,899.0,555.75
585.0,539.0,443.0,478.0,511.25
812.0,556.0,338.0,35.0,435.25
801.0,673.0,979.0,98.0,637.75
575.0,903.0,17.0,835.0,582.5
295.0,889.0,543.0,802.0,632.25
529.0,689.0,25.0,881.0,531.0
565.0,930.0,198.0,205.0,474.5
944.0,607.0,458.0,714.0,680.75
565.0,815.0,372.0,323.0,518.75
779.0,772.0,21.0,196.0,442.0
528.0,106.0,954.0,811.0,599.75
703.0,408.0,83.0,174.0,342.0
57.0,882.0,170.0,956.0,516.25
85.0,533.0,489.0,462.0,392.25
69.0,686.0,939.0,784.0,619.5
191.0,219.0,255.0,570.0,308.75
983.0,704.0,906.0,520.0,778.25
926.0,92.0,259.0,584.0,465.25
445.0,499.0,73.0,481.0,374.5
766.0,731.0,319.0,229.0,511.25
871.0,362.0,49.0,568.0,462.5
766.0,957.0,586.0,554.0,715.75
687.0,888.0,842.0,717.0,783.5
572.0,730.0,727.0,85.0,528.5
934.0,795.0,123.0,814.0,666.5
794.0,702.0,306.0,784.0,646.5
184.0,865.0,983.0,495.0,631.75
643.0,558.0,696.0,881.0,694.5
806.0,37.0,716.0,174.0,433.25
181.0,257.0,676.0,704.0,454.5
198.0,473.0,669.0,244.0,396.0
354.0,872.0,643.0,715.0,646.0
313.0,502.0,554.0,590.0,489.75
938.0,92.0,447.0,512.0,497.25
